0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:36 +0800] "GET /Book2/changeUser.jsp HTTP/1.1" 200 6691
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:48 +0800] "GET /Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:50 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:51 +0800] "GET //Book2/FenleiServlet?action=showOne&id=143&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:20:51 +0800] "GET /Book2/changeFenlei.jsp HTTP/1.1" 200 3718
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:03 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:04 +0800] "GET //Book2/addfl.jsp HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:04 +0800] "GET //Book2/bootstrap/css/bootstrapValidator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:04 +0800] "GET //Book2/bootstrap/js/bootstrapValidator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:04 +0800] "GET //Book2/js/ajax.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:04 +0800] "GET //Book2/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:06 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:08 +0800] "GET //Book2/updatefl.jsp HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:08 +0800] "POST //Book2/FenleiServlet HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:47 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:49 +0800] "GET //Book2/updatefl.jsp HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:21:49 +0800] "POST //Book2/FenleiServlet HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:22:01 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:22:02 +0800] "GET //Book2/updatefl.jsp HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:22:03 +0800] "POST //Book2/FenleiServlet HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:22:51 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:22:52 +0800] "GET //Book2/updatefl.jsp HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:22:52 +0800] "POST //Book2/FenleiServlet HTTP/1.1" 200 3323
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:23:58 +0800] "GET /Book2/FenleiServlet?action=showPasgefl HTTP/1.1" 200 11106
