127.0.0.1 - - [18/Dec/2018:08:06:29 +0800] "GET / HTTP/1.1" 200 11444
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:41 +0800] "GET /Bootstrap/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:41 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:41 +0800] "GET /Bootstrap/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:41 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:41 +0800] "GET /Bootstrap/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:41 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:42 +0800] "GET /Bootstrap/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:42 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:42 +0800] "GET /Bootstrap/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:32:42 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:33:30 +0800] "GET /Bootstrap/index.html HTTP/1.1" 200 4152
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:33:30 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:11 +0800] "GET /Book2/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:11 +0800] "GET /Book2/tu/15.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:24 +0800] "POST /Book2/AdminServlet?action=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:24 +0800] "GET /Book2/index.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [18/Dec/2018:09:34:24 +0800] "GET /Book2/top.jsp HTTP/1.1" 200 964
